Actual Density,Mean D between Robots,Num Robots,Mean SDE,Min SDE,Max SDE,SDE Range
0.9301667,66.50167,2,1,1,1,0
4.232995,48.8298,2,1,1,1,0
1.1454003,54.189655,3,2,2,2,0
1.105347,45.857857,4,2.55,2.2,2.9333334,0.73333335
0.8749105,52.35705,4,1.55,1.2,1.9000001,0.70000005
0.65325385,52.3956,4,1.5500001,1.2,1.9000001,0.70000005
0.5587592,56.024483,3,1.4,1.2,1.8000001,0.6
1.1046126,44.95073,3,1.4000001,1.2,1.8000001,0.6
0.96612525,65.12963,2,1,1,1,0
10.315447,49.007744,2,1,1,1,0
1.0769223,54.86095,3,2,2,2,0
0.6864453,49.792297,5,2.4,1.2,2.8666668,1.6666667
0.89503455,52.696804,4,1.55,1.2,1.9000001,0.70000005
0.6271485,52.805542,4,1.5500001,1.2,1.9000001,0.70000005
0.61670935,53.557026,3,1.4,1.2,1.8000001,0.6
0.3430505,51.691364,6,1.7111111,1.2,2.6666667,1.4666667
0.9707601,64.95684,2,1,1,1,0
20.905792,49.528885,2,1,1,1,0
0.73985165,49.7671,5,2.4666667,1.4000001,2.9333334,1.5333333
0.8069005,52.696125,4,1.55,1.2,1.9000001,0.70000005
0.58667696,53.988983,4,1.5500001,1.2,1.9000001,0.70000005
0.6936764,50.703938,3,1.4,1.2,1.8000001,0.6
0.35935172,51.264183,6,1.7777778,1.2,2.6666667,1.4666667
0.9706754,64.95999,2,1,1,1,0
5.1575933,51.374165,2,1,1,1,0
0.748856,49.973446,5,2.4666667,1.4000001,2.9333334,1.5333333
0.7494867,52.628407,4,1.55,1.2,1.9000001,0.70000005
0.54360765,55.595226,4,1.5500001,1.2,1.9000001,0.70000005
0.79335254,47.35762,3,1.4,1.2,1.8000001,0.6
0.37868783,50.83066,6,1.7777778,1.2,2.6666667,1.4666667
0.94859934,65.76188,2,1,1,1,0
2.933425,55.64032,2,1,1,1,0
0.74055326,50.622574,5,2.4666667,1.4000001,2.9333334,1.5333333
0.72890425,52.268703,4,1.55,1.2,1.9000001,0.70000005
1.0503178,49.415695,3,1.4000001,1.2,1.8000001,0.6
0.91750973,43.90894,3,1.4,1.2,1.8000001,0.6
0.40093043,50.412994,6,1.7777778,1.2,2.6666667,1.4666667
0.8881898,67.963524,2,1,1,1,0
1.36646,61.47848,3,1.3666668,1.2,1.7,0.5
0.7261037,51.70222,5,2.4666667,1.4000001,2.9333334,1.5333333
1.8401507,43.181355,3,1.4333334,1.2,1.9000001,0.70000005
1.1210591,45.78775,3,1.4000001,1.2,1.8000001,0.6
1.075461,40.39541,3,1.4,1.2,1.8000001,0.6
0.42637497,50.163902,6,1.7777778,1.2,2.6666667,1.4666667
1.0764879,60.700745,3,1.4,1.2,1.8000001,0.6
0.7179013,51.680515,5,2.48,1.4000001,3,1.5999999
1.9566954,41.89878,3,1.4,1.2,1.8000001,0.6
1.1860306,43.027634,3,1.4000001,1.2,1.8000001,0.6
1.2761959,36.919926,3,1.4,1.2,1.8000001,0.6
0.45193088,50.07819,6,1.7777778,1.2,2.6666667,1.4666667
0.91185164,59.943882,3,1.4,1.2,1.8000001,0.6
0.6963049,53.770863,5,2.85,2.3,3.65,1.3500001
2.0450702,40.78569,3,1.4,1.2,1.8000001,0.6
1.2800338,40.086933,3,1.4000001,1.2,1.8000001,0.6
1.5390075,44.384785,3,1.9333334,1.9000001,2,0.099999905
0.47842714,49.986168,6,1.7777778,1.2,2.6666667,1.4666667
0.80204076,59.512184,3,1.4,1.2,1.8000001,0.6
0.67954683,52.88381,5,2.8600001,2.3,3.7,1.4000001
2.1531484,39.716213,3,1.4,1.2,1.8000001,0.6
1.2483711,39.16298,3,1.4000001,1.2,1.8000001,0.6
1.8921064,40.302467,3,2,2,2,0
0.5119846,49.874657,6,1.7777778,1.2,2.6666667,1.4666667
0.71523607,59.61721,3,1.4,1.2,1.8000001,0.6
0.6581294,49.00581,5,2.5666668,1.6,3.7,2.1
2.2447493,47.847668,3,1.9000001,1.8000001,2,0.19999993
1.3573704,37.298515,3,1.4000001,1.2,1.8000001,0.6
2.3462512,36.75456,3,2,2,2,0
0.54277354,49.852253,6,1.7777778,1.2,2.6666667,1.4666667
2.4695094,49.985764,2,1,1,1,0
1.377247,42.896076,4,2.5333333,2.2,2.8666668,0.66666675
2.242257,45.58494,3,2,2,2,0
1.3155718,37.036724,3,1.4000001,1.2,1.8000001,0.6
2.9809918,34.019485,3,2,2,2,0
2.2088392,48.026222,2,1,1,1,0
0.47413605,44.441093,5,1.7,1.2,2.1,0.89999986
1.4555523,40.77696,4,2.5333333,2.2,2.8666668,0.66666675
1.9969021,44.050587,3,2,2,2,0
1.2159024,38.6776,3,1.4000001,1.2,1.8000001,0.6
3.8210146,31.838106,3,2,2,2,0
2.059781,46.544197,2,1,1,1,0
0.49569133,43.41075,5,1.6400001,1.2,2,0.79999995
1.4485886,40.06591,4,2.5333333,2.2,2.8666668,0.66666675
1.778658,43.402622,3,2,2,2,0
1.3592227,37.196922,3,1.4000001,1.2,1.8000001,0.6
5.1988134,28.723417,3,2,2,2,0
2.031781,45.277172,2,1,1,1,0
0.5171775,47.014652,5,2.0266664,1.2,2.7333333,1.5333333
1.528618,38.81362,4,2.5333333,2.2,2.8666668,0.66666675
1.6536461,42.917736,3,2,2,2,0
1.5102553,46.97639,3,1.9666667,1.9000001,2,0.099999905
7.954314,25.759378,3,2,2,2,0
1.9255757,45.67949,2,1,1,1,0
0.5379318,45.131527,5,2.04,1.2,2.8000002,1.6000001
1.4322959,38.11192,4,2.5333333,2.2,2.8666668,0.66666675
1.5502256,43.167282,3,2,2,2,0
1.7057688,44.67043,3,2,2,2,0
5.7964206,25.799337,3,2,2,2,0
1.9174616,45.791904,2,1,1,1,0
0.56766695,43.12003,5,2.04,1.2,2.8000002,1.6000001
1.3528035,37.4518,4,2.5333333,2.2,2.8666668,0.66666675
1.4826112,43.894012,3,2,2,2,0
1.9151514,42.89758,3,2,2,2,0
5.5526185,26.100302,3,2,2,2,0
2.013121,45.711044,2,1,1,1,0
0.5928923,42.85305,5,2.04,1.2,2.8000002,1.6000001
1.2747858,37.65852,4,2.5333333,2.2,2.8666668,0.66666675
1.4462184,44.97678,3,2,2,2,0
1.4088718,68.11279,2,0.9,0.8,1,0.19999999
2.1679175,41.22,3,2,2,2,0
4.837911,26.838943,3,2,2,2,0
2.0789979,46.897972,2,1,1,1,0
0.61595166,42.242516,5,2.04,1.2,2.8000002,1.6000001
1.2091812,38.56074,4,2.5333333,2.2,2.8666668,0.66666675
1.4774851,45.851826,3,2,2,2,0
1.7903385,65.78796,2,1,1,1,0
2.4302244,39.0622,3,2,2,2,0
4.499834,27.535143,3,2,2,2,0
2.174369,48.8257,2,1,1,1,0
0.65155053,41.37078,5,2.04,1.2,2.8000002,1.6000001
1.160629,39.60148,4,2.5333333,2.2,2.8666668,0.66666675
1.499926,47.454285,3,2,2,2,0
2.457682,62.467052,2,1,1,1,0
2.658074,37.561214,3,2,2,2,0
4.4330745,28.269407,3,2,2,2,0
2.3465483,51.204628,2,1,1,1,0
0.68115145,39.739582,5,2.04,1.2,2.8000002,1.6000001
1.1185887,41.062515,4,2.5333333,2.2,2.8666668,0.66666675
1.5656916,49.081745,3,2,2,2,0
3.5072694,59.29019,2,1,1,1,0
3.0229182,36.089314,3,2,2,2,0
4.7643933,28.391321,3,2,2,2,0
2.6803627,53.23044,2,1,1,1,0
0.7183242,39.586895,5,2.04,1.2,2.8000002,1.6000001
1.0868801,42.856194,4,2.5333333,2.2,2.8666668,0.66666675
1.6946517,39.5526,3,1.4333334,1.2,1.9000001,0.70000005
5.7440896,56.094456,2,1,1,1,0
3.3945212,35.07733,3,2,2,2,0
3.3334615,32.645603,3,2,2,2,0
3.0482054,55.092316,2,1,1,1,0
0.7567603,39.092186,5,2.04,1.2,2.8000002,1.6000001
1.0796552,44.44159,4,2.5333333,2.2,2.8666668,0.66666675
1.8805116,40.699554,3,1.4,1.2,1.8000001,0.6
13.115297,53.17132,2,1,1,1,0
3.5029428,34.66013,3,2,2,2,0
2.6376967,36.07957,3,2,2,2,0
3.6372051,57.010212,2,1,1,1,0
0.66064507,43.22913,6,1.9833332,1,2.8000002,1.8000002
0.97592145,46.78539,4,2.5333333,2.2,2.8666668,0.66666675
2.1339471,42.325058,3,1.4,1.2,1.8000001,0.6
198.48567,50.540726,2,1,1,1,0
3.706164,35.0426,3,2,2,2,0
2.0802217,40.417843,3,2,2,2,0
4.8315,59.15433,2,1,1,1,0
0.72849774,42.216675,6,2.0333335,1.2,2.8000002,1.6000001
0.8879416,43.706497,4,2.1416667,1.4000001,2.8666668,1.4666667
2.4870737,44.26188,3,1.4,1.2,1.8000001,0.6
18.186043,47.396706,2,1,1,1,0
3.6809473,36.06548,3,2,2,2,0
1.6964618,44.739838,3,2,2,2,0
0.70353496,56.58353,3,1.3333334,1,1.8000001,0.8000001
8.468236,60.917225,2,1,1,1,0
0.68530023,43.825695,6,2.0333335,1.2,2.8000002,1.6000001
0.81062376,46.080704,4,2.0833333,1.4000001,2.7333333,1.3333333
2.938875,46.57071,3,1.4,1.2,1.8000001,0.6
2.8708003,38.03786,3,2,2,2,0
1.4172976,49.14407,3,2,2,2,0
0.73881793,53.434055,3,1.4,1.2,1.8000001,0.6
27.648865,62.713547,2,1,1,1,0
